,SRR14291145,SRR14291146,SRR14291147,SRR14291148,SRR14291149,SRR14291150,SRR14291151,SRR14291152,SRR14291153,SRR14291154,SRR14291155,SRR14291156,SRR14291157,SRR14291158,SRR14291159,SRR14291160,SRR14291161,SRR14291162,SRR14291163,SRR14291164,SRR14291165
Streptomyces sp. SUK 48,0.0,0.0,0.0,0.0017171048883114328,0.0,0.0,0.0,0.0004980606198636084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021647899999072233,0.0,0.0,0.0006501103426867056,0.0,0.00044929079448091186
Asticcacaulis sp. AND118,0.00033211129401109564,0.0,0.0,0.0,0.0,0.0,0.00028506286154393156,0.000384865024440061,0.0,0.0,0.0,0.0,0.0009589728836314612,0.0008195589379663546,0.0010791980263626494,0.0,0.0005999805434880897,0.000701083407559148,0.00035214310228863223,0.0,0.00039312944517079794
Haloplanus sp. HW8-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009508430015577979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flavobacterium aestivum,0.0006446866295509503,0.0,0.000322820504267149,0.0,0.0003188500990029557,0.00045642189111739807,0.0005701257230878631,0.0004527823816941894,0.00045645522490251174,0.0,0.0002554720368437127,0.0,0.00033846101775228036,0.0006966250972714014,0.0007770225789811077,0.001104484693830216,0.0014570956056139323,0.001535706511796229,0.0011918689615922936,0.0011249765478679337,0.0003556885456307219
Nitrosomonas eutropha,0.0008400462142633596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007615372899426308,0.0010244486724579433,0.0013813734737441912,0.0016346373468687195,0.0,0.0006009286350506984,0.0,0.0,0.0
Erythrobacter sp. HKB08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035214310228863223,0.0,0.00029952719632060794
Janthinobacterium sp. LM6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008743576291933909,0.0,0.0026764111053793702,0.0,0.0,0.0,0.0,0.0,0.0
Demequina sediminis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004075041435247705,0.0,0.0,0.0006270677267982038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aneurinibacillus sp. XH2,0.0013870530514581052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Candidatus Blochmannia vicinus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036723416586431564,0.0,0.0,0.0
Neobacillus sp. DY30,0.0010940136743894915,0.0,0.00045732904771179445,0.0,0.0,0.0006670781485561971,0.0009070181958216005,0.0012677906687437305,0.0010884701516906048,0.0004352484055918228,0.0009057644942640723,0.0009006990550541039,0.0006205118658791807,0.0006966250972714014,0.0015108772369077093,0.0015904579591155107,0.0017999416304642693,0.0025706391610502096,0.0016523637876620435,0.001487872208470493,0.0006364952921812919
Klebsiella sp. WP4-W18-ESBL-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006035888149915667,0.00848243500795177,0.017655679711292945,0.0,0.0,0.0,0.0,0.0,0.0
Swingsia samuiensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004953844802797571,0.0,0.0,0.0,0.0,0.0,0.0006343135592201815,0.0,0.0,0.0
Pseudomonas sp. DTU12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003369680958606839
Achromobacter sp. 77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007470909297954125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aeromonas media,0.0,0.0,0.00040352563033393626,0.0,0.0,0.0005617500198367975,0.0006996997510623775,0.0007018126916259936,0.000737350747919442,0.0,0.0006270677267982038,0.00029272719289258375,0.0007051271203172508,0.0012703163538478497,0.0014677093158532032,0.0010161259183237986,0.0015428071118265166,0.0010015477250844972,0.0009209896521394995,0.0008346600193858862,0.0007300975410314818
Brevibacillus sp. JNUCC-41,0.002715498227502488,0.0,0.003012991373160058,0.0,0.0,0.0,0.0026433101706800927,0.0,0.0,0.0,0.0027172934827922163,0.0029497894053021902,0.0029897389901451434,0.006802339185120743,0.0038851128949055377,0.0041970418365548205,0.0,0.0,0.003467255160995763,0.0,0.0
Pseudomonas vanderleydeniana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002490303099318042,0.0,0.0,0.0,0.0,0.0005076915266284206,0.0004917353627798128,0.00047484713159956575,0.0,0.0005999805434880897,0.0005007738625422486,0.0,0.0,0.00037440899540075993
Methanimicrococcus sp. Hf6,0.0,0.0,0.0,0.0,0.0,0.0,0.00031097766713883445,0.0002943085481012231,0.0,0.0,0.0,0.0,0.0,0.0,0.0005611829737085777,0.00097194653057059,0.0007714035559132583,0.0005341587867117319,0.0003792310332339116,0.0,0.0
Paraoerskovia marina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003169476671859326,0.0,0.0,0.0,0.0,0.0,0.0007785809910680368,0.0006043508947630836,0.0008835877550641728,0.0008571150621258424,0.0006009286350506984,0.000406318964179191,0.0007983704533256303,0.0
Parabacteroides sp. CT06,0.04327214801379864,0.8826743650671846,0.3476776830957195,1.1063618996279345,0.6151574960064025,0.037426595071626635,0.039235015670682945,0.091326206387718,0.05228167922152614,0.04022938834541562,0.04103809900934911,0.010538178944133015,0.0659152832072566,0.13018693729595543,0.12609349740021197,0.5033799440600591,0.5239115817244212,0.18211476134453108,0.7489271147750849,0.4125760765390496,0.012355496848225078
Cytobacillus oceanisediminis,0.002246635224192706,0.004564530554570617,0.0,0.0,0.0,0.0,0.00298020264341383,0.0,0.0,0.0,0.0,0.003512726314711005,0.004597428824468475,0.004712463893306539,0.007727057868756569,0.0041086830610484034,0.004371286816841797,0.008646695359896159,0.0037652224013938365,0.003592667039965336,0.002882949264585851
Spirosoma pollinicola,0.000761902380378396,0.0,0.0,0.0,0.00047827514850443364,0.0,0.0016326327524788808,0.0008602865252189599,0.0008075746286736745,0.001181388529463519,0.00027869676746586835,0.00045034952752705194,0.00033846101775228036,0.0004097794689831773,0.0,0.0007510495918045469,0.0016285186180391006,0.003004643175253492,0.0015710999948262052,0.0015967409066512605,0.00044929079448091186
Piscinibacter sp. XHJ-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0003628072783286401,0.00043014326260947997,0.0,0.0,0.0,0.00038279709839799417,0.0005076915266284206,0.0006556471503730838,0.0006475188158175896,0.00097194653057059,0.0011999610869761793,0.0012018572701013967,0.0007584620664678232,0.0006169226230243506,0.0004680112442509499
Brevibacillus parabrevis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001154595073320183,0.0,0.0,0.0,0.0,0.002594867802767483,0.003524103433255325,0.0033239299211969596,0.0,0.0,0.0,0.0,0.0,0.0
Unuamitovirus fuan1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022464539724045593
